skill_id,codename,name,short_name,category,n_levels,level_1,level_2,level_3,level_4,level_5,param,text_source,computation,n_modifiers,mod_summary
chakra,Chakra,Chakra,-,root,2,Heals other allies for 1.25x Focus. Long turn delay.,Restores 1.25x Focus MP for allies,-,-,-,[0.1;0.6;2;3],pool,,1,heal×1
channel,Channel,Channel,-,enemy,1, damage. Channeling stops if broken.,-,-,-,-,[0.5;1.0;1.5;2.0;30.0;7;2;3;4;5],pool,base_skill,1,damage×1
chaosspores,ChaosSpores,Chaos Spores,Chaos Spr,enemy,1,Causes debilitating effects to enemy party.,-,-,-,-,[0.1;0.2;0.25;0.5;1.75;2.0;7;2],pool,base_skill,0,
charge,Charge,Charge,-,root,2,Deals 1x Power SkillType.Physical damage to enemies in a line.,50% increased damage against one target,-,-,-,[0.01;0.15;0.25;0.6],pool,,2,damage×2
chargedfist,ChargedFist,Charged Fist,-,inventions,1,Deals 120-210 SkillType.Lightning damage and shifts target to back row. Low turn delay.,-,-,-,-,[0.025;0.15;0.25;0.6;0.95;1.0;1.6;1.85],pool,Invention,1,damage×1
chargedhook,ChargedHook,Charged Hook,-,enemy,0,-,-,-,-,-,-,name-only,,0,
charm,Charm,Charm,Charm,defend,3,"Force a non-Boss enemy to attack an adjacent teammate next turn with a basic attack, if possible.",Attack deals 50% increased damage,Effect has 25% chance to persist,-,-,[25.0;7;3;2;4],json,base_skill,1,damage×1
chastise,Chastise,Chastise,Chastise,fight,3,Deals 1.2x Focus SkillType.Holy damage to target. Always hits.,Deals 0.6x Focus SkillType.Holy damage after target's next turn,Prevents target from targeting your party for one turn,-,-,[0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.95;1.5;3;5],json,base_skill,2,damage×2
chill,Chill,Chill,Chill,fight,3,Deals 1x Focus SkillType.Ice damage to an enemy.,Decreases target's Speed by 25%,Adds 3 Frostbite,-,-,[0.75;1.0;1.5],json,base_skill,2,damage×1;stat_mod×1
chomp,Chomp,Chomp,-,enemy,1,Deals 1.5x Power SkillType.Physical damage. Pierces 50% of defenses.,-,-,-,-,[0.5;1.0;1.15;2;3],pool,base_skill,1,damage×1
chop,Chop,Chop,-,fight,3,Deals 1x Power SkillType.Physical damage to target. Deals 50% increased damage to Plants.,Damage increased by 30%,Deals 1x Power SkillType.Physical damage. 50% bonus damage to Plants.,-,-,[0.035;0.15;0.5;1.0;1.3;1.5;3;2],pool,base_skill,3,damage×3
claim,Claim,Claim,-,enemy,1,Steals 1.0x Focus HP and MP from all allies and enemies.,-,-,-,-,[2.0],pool,base_skill,0,
clawswipes,ClawSwipes,Claw Swipes,-,enemy,1,Deals 0.75x Power SkillType.Physical damage. Hits 2 times.,-,-,-,-,[0.4],pool,base_skill,1,damage×1
cleanse,Cleanse,Cleanse,-,root,2,Dispels all SkillType.Poison debuffs.,Heals target for 0.2x Focus HP for each SkillType.Debuff dispelled,-,-,-,[0.1;0.2;0.4;0.5;0.6;0.8;0.9;1.2;2.0;2;3],pool,,2,status×1;heal×1
clearcut,ClearCut,Clear Cut,-,enemy,1,All allies attack random targets.,-,-,-,-,-,pool,base_skill,0,
cleave,Cleave,Cleave,Cleave,root,3,Deals 1x Power SkillType.Physical damage to target. Row takes 0.5x Power SkillType.Physical damage.,Enemies bleed for 50% SkillType.Physical damage taken for 1 turn,Bleed now lasts 2 turns,-,-,[0.5;20.0;2;3;4;5],json,,4,damage×3;status×1
cloakrune,CloakRune,Cloak Rune,Cloak,root,1,Triggers after dodging. Hits adjacent allies or enemies for 1.5x Imbued effect.,-,-,-,-,[3],pool,,0,
clobber,Clobber,Clobber,-,fight,3,"Deals 1.5x Power SkillType.Physical and SkillType.Stun damage to target enemy, and SkillType.Stun damage to self.",Deals 35% increased damage to targets with lower HP,Deals 50% increased damage on a critical hit,-,-,[0.01;0.15;0.25;0.3;0.5;1.35;1.5;2;3],pool,base_skill,4,damage×3;status×1
clothesline,Clothesline,Clothesline,Clothesln,fight,3,Deals 1x Power SkillType.Physical and SkillType.Stun damage.,Decreases target's Toughness by 15% for 3 turns. Max 3 stacks.,Decreases target's Speed by 15%,-,-,[0.01;0.15;0.25;0.85;1.0;2;3],json,base_skill,4,stat_mod×2;damage×1;status×1
clownhammer,ClownHammer,Clown Hammer,-,fight,3,Deals 250-350 SkillType.Stun damage to an enemy.,Damage increased by 100,50% chance to gain Free Turn if miss,-,-,[50.0;3;2],pool,base_skill,3,damage×2;status×1
coagulate,Coagulate,Coagulate,-,root,3,Target enemy takes up to 0.5x Focus added SkillType.Dark damage when hit.,Damage taken by enemy gains 50% more piercing,Damage taken by enemy charges Blood Essence,-,-,[0.25;0.4;0.5;1.0;3],pool,,3,damage×3
coldcrush,ColdCrush,Cold Crush,-,enemy,0,-,-,-,-,-,[0.035;0.15;0.25;0.3;0.5],name-only,base_skill,0,
coldwallop,ColdWallop,Snow Plow,Snow Plow,enemy,1,Deals 0.6x Power SkillType.Physical and 0.6x Focus SkillType.Ice damage and sends target to the back row.,-,-,-,-,[0.025;0.15;0.2;1.0;2;7;3],json-size,base_skill,1,damage×1
combatroll,CombatRoll,Combat Roll,-,root,4,"Bonus Action. Swap position with an ally and gain a Free Turn. Three turn charge, but charge time increases with each use.",Bonus Action. Swap position with an ally and gain a Free Turn. Charges over time.,Dispel 2 SkillType.Debuff effects,Heal for 25% of missing HP,-,[0.25;2;3],pool,,1,heal×1
command,Command,Command,-,defend,4,Command an ally to use one of their skills. Ally loses current turn progress. Two turn charge.,Command an ally to use one of their skills. Ally loses current turn progress.,Ally no longer loses turn progress,Gain Free Turn after use,-,[2;3;7],pool,base_skill,0,
commandally,CommandAlly,Command Ally,-,enemy,1,Restores MP of an ally and gives them a free turn.,-,-,-,-,-,pool,base_skill,0,
commandhusk,CommandHusk,Command Husk,-,enemy,1,Restores MP of an ally husk and gives them a free turn.,-,-,-,-,-,pool,base_skill,0,
commandundead,CommandUndead,Command Undead,-,enemy,1,Restores MP of an ally undead and gives them a free turn.,-,-,-,-,[3],pool,base_skill,0,
commune,Commune,Commune,-,root,1,Access the Animal Spirit skills. Requires Spirit Walk.,-,-,-,-,[2;7],pool,,0,
concentrate,Concentrate,Concentrate,-,defend,1,Bonus Action. Deactivate Calm buff.,-,-,-,-,[0.1;0.2;0.5;0.6;1.0;1.5;2;3],pool,base_skill,0,
conduit,Conduit,Conduit,-,enemy,2,Steals 20% Max HP from all allies and deals SkillType.Dark damage to targets based on HP drained.,Steals HP from all allies to deal damage to target enemies.,-,-,-,[0.015;0.05;0.1;0.15;0.2;0.32;0.5;0.525;0.75;2.0;2;3;4],pool,base_skill,2,damage×2
consecrate,Consecrate,Consecrate,Consecrate,root,3,Enemies take 1x Focus SkillType.Holy damage every turn but costs MP.,Enemies deal 35% less damage,Costs 25% less MP per turn,-,-,[0.25;0.65;1.0;3],json,,2,damage×2
constrict,Constrict,Constrict,-,enemy,1,"Deals Entangle's damage to entangled target, and increases future entangle damage by 1x Power.",-,-,-,-,[5;2;3;4],pool,base_skill,1,damage×1
consume,Consume,Consume,-,enemy,0,-,-,-,-,-,[0.5],name-only,HealSkill,0,
consumeegg,ConsumeEgg,Consume Egg,-,enemy,1,"Eats an egg, heals self",-,-,-,-,[0.33],pool,base_skill,1,heal×1
coresurge,CoreSurge,Core Surge,Core Surge,enemy,1,"Doubles Power, Triples Speed, but decreases Toughness by 25% and deals 2% max HP self SkillType.Lightning damage.",-,-,-,-,[0.01;0.05;0.07;0.25;0.3;0.5;0.6;0.7;0.75;1.0;1.5;2.0;2.5;3.0;3.5],json,base_skill,2,damage×1;stat_mod×1
coresurgeplayer,CoreSurgePlayer,Core Surge Player,-,enemy,0,-,-,-,-,-,[0.5],name-only,,0,
corruptionblast,CorruptionBlast,Corruption Blast,-,enemy,1,Deals 1.6x Focus SkillType.Dark damage and 30% MP Damage. Charges with SkillType.Holy damage dealt.,-,-,-,-,[0.015;0.15;0.25;0.3;0.5;0.65;1.5;2.0;26.0],pool,base_skill,1,damage×1
cosmichorror,CosmicHorror,Cosmic Horror,-,enemy,1,Deals 2x Focus SkillType.Stun damage to all enemies.,-,-,-,-,[0.25;0.5;0.65;1.0;1.25;1.8],pool,base_skill,2,damage×1;status×1
coupdegras,CoupDeGras,Coup de Gras,-,root,0,-,-,-,-,-,-,name-only,,0,
covet,Covet,Covet,-,enemy,0,-,-,-,-,-,[0.7],name-only,base_skill,0,
crucifix,Crucifix,Crucifix,-,root,0,-,-,-,-,-,[0.1;0.15;0.25;0.5;0.75;1.25;1.26;40.0;2],name-only,,0,
crush,Crush,Crush,-,enemy,0,-,-,-,-,-,[0.035;0.15],name-only,base_skill,0,
crusharmor,CrushArmor,Crush Armor,CrushArmr,root,3,Deals 1.35x Power piercing SkillType.Physical damage to target.,Decreases target's Toughness by 75% for one turn,Target takes 50% increased SkillType.Physical damage for one turn,-,-,[0.015;0.15;0.25;0.5;0.98;1.0;2.0;3],pool,,3,damage×2;stat_mod×1
crushsoul,CrushSoul,Crush Soul,Crush Soul,root,3,Deals 1.35x Power SkillType.MP damage and decreases target's Discipline by 25%.,,,-,-,[0.01;0.15;0.25;1.0],json,,2,damage×1;stat_mod×1
cryogrenade,CryoGrenade,Cryo Grenade,Cryo Grenade,root,3,Deals 150-220 SkillType.Ice damage to target enemies. One use.,Lowers target speed and agility by 75% for 2 turns,2 uses,-,-,[0.25;2;3],json,,1,damage×1
cryoshot,CryoShot,Cryo Shot,Cryo Shot,enemy,3,Deals 1x Power SkillType.Ice damage to target enemy.,Non-boss target becomes frozen and cannot act or dodge for 2 turns,Target takes 30-40 piercing SkillType.Ice damage when hit,-,-,[0.2;0.25;0.35;0.5;0.7;0.8;0.85;1.0;3.0;3],json,base_skill,2,damage×2
curse,Curse,Curse,-,enemy,1,Target's received SkillType.Healing is reduced by 90% for 2 turns.,-,-,-,-,[0.1;0.25;0.4;0.5;1.0;2.0;2.25],pool,base_skill,0,
cyclonestaff,CycloneStaff,Cyclone Staff,-,root,0,-,-,-,-,-,[0.25;0.4;0.45;2.0;3],name-only,,0,
darkbargain,DarkBargain,Dark Bargain,Dark Bargain,enemy,3,"Revives a downed ally, but they take 10% Max HP SkillType.Physical damage over time, and can no longer bleed out.",Ally gains 35% increased Endurance while active,Ally no longer takes SkillType.Physical damage over time,-,-,[0.1;0.2;0.25;0.4;0.5;0.8;1.35;1.5;2.0;2.25;30.0;2;3],json,HealSkill,2,damage×2
darkbond,DarkBond,Dark Bond,DarkBond,root,3,Transfers 50% of taken damage to target as Dark damage. Only one active at a time.,Steals 35% of healing received from target,Damage transferred increased by 25%,-,-,[0.25;0.4;0.5;0.7;2],json,,2,damage×2
darkclaws,DarkClaws,Dark Claws,-,enemy,1,Deals 0.75x Power SkillType.Dark and SkillType.MP damage. Hits 2 times.,-,-,-,-,-,pool,Stance,1,damage×1
darkestbargain,DarkestBargain,Darkest Bargain,Dkst Bargain,enemy,1,"Revives all downed allies, but they take 10% Max HP SkillType.Physical damage over time, and can no longer bleed out.",-,-,-,-,-,json,HealSkill,1,damage×1
darkflame,DarkFlame,Dark Flame,-,root,2,Deals 1x Focus SkillType.Dark and SkillType.Fire damage. Uses all Newt Eye and Bat's Fur.,Deals 25% more damage for each Newt Eye,-,-,-,[0.015;0.2;0.25;0.3;0.5;0.6;0.8;1.0;3;2],pool,,2,damage×2
darkmatter,DarkMatter,Dark Matter,-,enemy,1,Deals 1.75x Focus SkillType.Dark damage to all enemies.,-,-,-,-,[0.25;0.5;1.0;1.25;1.8],pool,base_skill,1,damage×1
darkmatterbomb,DarkMatterBomb,Dark Mtr Bomb,DarkMatterBomb,inventions,1,Deals 120-180 SkillType.Dark and 40-60 SkillType.MP damage to target enemies.,-,-,-,-,[-15.0;1.0;2.0;3.0;15.0],pool,Invention,1,damage×1
darkmirror,DarkMirror,Dark Mirror,-,enemy,1,Summons copies of atomized heroes.,-,-,-,-,[0.2;0.25;1.25;1.5;2],pool,base_skill,1,summon×1
darkprism,DarkPrism,Dark Prism,-,enemy,1," taken SkillType.Healing to SkillType.Dark damage, and is then broken.",-,-,-,-,[0.25;0.4;0.5;1.0;2.0;2.25;2;3;4],pool,base_skill,1,damage×1
darkshroud,DarkShroud,Dark Shroud,Dark Shroud,enemy,3,"Increases ally dodge chance for three turns, while draining MP to restore HP per turn.","Increases ally dodge chance for three turns, while draining MP to restore HP per turn.","Increases ally dodge chance for three turns, while draining MP to restore HP per turn.",-,-,[-0.5;0.25;1.0;2.0;25.0],json,HealSkill,0,
darkwords,DarkWords,Dark Words,-,root,1,Bonus Action. Access Dark Word skills.,-,-,-,-,[2;7],pool,,0,
dazzle,Dazzle,Dazzle,-,fight,3,Deals 1x Technique SkillType.Stun damage to enemies in the front row.,Also deals .5x Technique SkillType.MP damage,Deals 50% of SkillType.Stun damage to back row,-,-,-,pool,base_skill,5,damage×3;status×2
deathlywind,DeathlyWind,Deathly Wind,-,enemy,0,-,-,-,-,-,[0.8;10.0;3],name-only,base_skill,0,
deathshroud,DeathShroud,Death Shroud,Death Shrd,root,3,Bonus Action. Gain Lv. 3 Reap and Dark Bargain skills. Ends at 0 MP. Three turn charge.,Gain 100% of Wisdom as Focus while active,Always hit while active,-,-,[-25.0;0.25;0.5;2;3],json,,1,stat_gain×1
deathwormburrow,DeathWorm_Burrow,Death Worm_Burrow,-,enemy,0,-,-,-,-,-,-,name-only,base_skill,0,
deathwormburst,DeathWorm_Burst,Death Worm_Burst,-,enemy,0,-,-,-,-,-,-,name-only,base_skill,0,
deathwormconsume,DeathWorm_Consume,Death Worm_Consume,-,enemy,0,-,-,-,-,-,[0.12;0.5;1.8],name-only,HealSkill,0,
debug,Debug,debug.exe,debug.exe,enemy,1,Converts up to 3 SkillType.Debuff on CENCOM to +20 Focus/Speed SkillType.Buff instead.,-,-,-,-,[0.2;0.4;0.5;0.6;20.0],json-size,base_skill,0,
decay,Decay,Decay,-,tbreak,1,Removes all dispellable SkillType.Buff effects from enemies.,-,-,-,-,[0.25;1.35],pool,BreakSkill,0,
decayenemy,DecayEnemy,Decay Enemy,-,tbreak,0,-,-,-,-,-,[2],name-only,BreakSkill,0,
defend,Defend,Defend,Defend,defend,1,Decrease incoming damage by 20% until next turn.,-,-,-,-,[0.8],json,base_skill,1,damage×1
defrag,Defrag,Defrag,-,enemy,0,-,-,-,-,-,[0.2;0.25;0.4;0.5;15.0],name-only,base_skill,0,
dejavu,DejaVu,Deja Vu,-,fight,1,"Target ally repeats their last SkillType.Attack skill without expending turn progress, if possible.",-,-,-,-,[0.5;0.8;3;2;7],pool,base_skill,0,
desecrate,Desecrate,Desecrate,Desecrate,root,3,Enemies take 1x Focus SkillType.Dark damage every turn but costs MP.,Enemies take 15% more damage,Costs 25% less MP per turn,-,-,[0.15;0.25;1.0;3],json,,2,damage×2
detonate,Detonate,Detonate,-,enemy,1,"Deals 10x Power SkillType.Physical damage, and kills user.",-,-,-,-,[1.0],pool,base_skill,1,damage×1
devastate,Devastate,Devastate,-,enemy,1,Deals 3.0x Power SkillType.Energy damage to all enemies.,-,-,-,-,[0.015;0.1;0.15;0.2;0.32;0.5;0.525;0.7;0.75;2.0;3.0;50.0],pool,base_skill,1,damage×1
devastatorcharge,DevastatorCharge,Devastator Charge,-,enemy,1,Charge up Devastator Weapon.,-,-,-,-,[0.2;0.5;0.7;1.0;3.0],pool,base_skill,0,
devour,Devour,Devour,Devour,enemy,1,"Deals SkillType.Physical damage. Pulls an enemy inside Sin, where it loses HP over time until it is digested or broken out.",-,-,-,-,[-0.25;0.6;0.8;1.0;1.5],json,base_skill,1,damage×1
devoursoul,DevourSoul,Devour Soul,-,root,2,Restores 75% of OWNER.NAME's MP,"Automatically triggers when HP is critical or MP is below 25%, if possible",-,-,-,[0.25;0.4;0.5;0.7;0.75;0.8;2.85;3.0;3.05;50.0;2;3],pool,,0,
direclaw,DireClaw,Dire Claw,-,enemy,0,-,-,-,-,-,[0.01;0.15;0.2;0.25;0.4;0.5;1.0;1.35;3],name-only,base_skill,0,
direct,Direct,Direct,-,root,3,"Command Ghalib's current summon to use one of their skills, if possible.",Skill deals 25% increased damage or healing,Decreased turn delay by 25%,-,-,[0.25;25.0;2;3],pool,,2,summon×1;damage×1
directive,Directive,Directive,-,root,2,Directs KillBot to target an enemy and grants it a Free Turn.,Increases KillBot's damage by 35% against target,-,-,-,[0.5],pool,,2,grant×1;damage×1
disarm,Disarm,Disarm,Disarm,root,3,Bonus Action. Deals 0.75x Power SkillType.Physical damage and decreases target's Power by 50% for 1 turn.,Also deals SkillType.Stun damage,Lasts 3 turns,-,-,[0.15;0.5;1.0;1.5;2.0],json,,4,damage×2;stat_mod×1;status×1
discard,Discard,Discard,-,enemy,1,Removes stolen SkillType.Buff and deals 1.5x Focus SkillType.Holy damage to random targets for each removed.,-,-,-,-,[0.21;0.25;0.4;0.5],pool,base_skill,1,damage×1
disengage,Disengage,Disengage,-,defend,2,Heals for 40% Max HP and shift to back row. Must be in front row.,Restores 1 use of Javelin and Rete,-,-,-,[0.3;0.4;0.6;2;7;3],pool,base_skill,1,heal×1
displacement,Displacement,Displacement,-,root,1,Swap position and grant ally a Free Turn. Two turn charge.,-,-,-,-,[0.05;0.25;50.0;2;7;3],pool,,1,grant×1
divebomb,DiveBomb,Dive Bomb,-,fight,0,-,-,-,-,-,-,name-only,base_skill,0,
divineshield,DivineShield,Divine Shield,Divine Shld,root,5,Blocks all damage taken by ally until your next turn. Limit one.,Increases target's healing received by 50% while active,Dispels all SkillType.Debuff effects on end,Blocks all incoming damage.,Healing received increased.,[0.25;0.3;0.4;0.45;0.5;1.0;1.5;30.0;2;3],pool,,2,damage×2
dokunoken,Dokunoken,Dokunoken,Dokunoken,enemy,1,Deals 1.5x POW SkillType.Physical damage to target row. Targets take 1.5x POW SkillType.Physical and SkillType.Poison damage per turn for 2 turns. Cannot be resisted.,-,-,-,-,[0.2;0.5;1.0;1.5;20.0;3],json,base_skill,2,damage×1;status×1
dominatemind,DominateMind,Dominate Mind,Dominate,root,3,Sacrifice 20% of current HP. Target non-boss enemy cannot act for 3 turns. Long turn delay.,Target takes 25% increased damage,Nullifies SkillType.Healing on target,-,-,[0.25;1.5;2;3],json,,1,damage×1
doomlance,DoomLance,Doom Lance,-,enemy,0,-,-,-,-,-,[0.01;0.15;0.25;0.4;0.5;1.0;2.0;2.25;3],name-only,base_skill,0,
doomprophecy,DoomProphecy,Doom Prophecy,Doom,fight,3,A random enemy takes 3x Focus SkillType.Holy damage after 3 turns. Stackable 10 times.,Enemy's SkillType.Healing received decreased by 10% per stack,Enemy takes 0.2x Focus SkillType.Holy damage per turn per stack,-,-,[0.05;0.2;0.35;0.5;0.6;0.9;1.0;1.6;2.0;2],json,base_skill,2,damage×2
doppelganger,Doppelganger,Doppelganger,-,enemy,1,Copies an opposing enemy.,-,-,-,-,[3],pool,base_skill,0,
dragonblade,DragonBlade,Dragon Blade,Dragon Bld,fight,1,Also deals 0.5x Focus SkillType.Fire damage,-,-,-,-,[0.2;0.5;3;2],pool,base_skill,1,damage×1
dragonrush,DragonRush,Dragon Rush,DragonRsh,root,3,"Deals 2x Power SkillType.Physical and SkillType.Fire damage, but decreases OWNER.NAME's attributes by 35% and cannot be used again for 3 turns.",Take 50% decreased damage while exhausted,Always deals critical damage,-,-,[0.01;0.1;0.15;0.2;0.25;0.3;0.4;0.5;0.6;0.65;2;3],json,,3,damage×3
dragunder,DragUnder,Drag Under,Drag Under,enemy,1,"Deals SkillType.Physical and SkillType.Stun damage. Pulls an enemy under the water, where it takes SkillType.Physical damage over time until it is digested or broken out.",-,-,-,-,[-0.35;0.35;0.6;0.8;1.0;1.5;3;2;4],json,base_skill,2,damage×1;status×1
drainhusk,DrainHusk,Drain Husk,Drain Husk,enemy,3,"Deals Dark damage to an ally husk, and heals self based on damage dealt. Grants target bonus Toughness.","Deals Dark damage to an ally husk, and heals self based on damage dealt. Grants target bonus Toughness.","Deals Dark damage to an ally husk, and heals self based on damage dealt. Grants target bonus Toughness.",-,-,-,json,base_skill,9,damage×3;heal×3;grant×3
drainingcloud,DrainingCloud,Draining Cloud,Draining Cloud,map,1,Causes SkillType.MP damage after every turn.,-,-,-,-,[0.2],json,base_skill,1,damage×1
drainlife,DrainLife,Drain Life,Drain Life,root,3,Deals 1.5x Focus SkillType.Dark damage to target and heals caster for damage dealt.,Also restores half of damage done as MP,Up to 100% more damage based on missing HP,-,-,[0.2;0.25;0.4;0.5;0.6;0.75;0.8;2.0;2.25;3;2],json,,4,damage×3;heal×1
drainpunch,DrainPunch,Drain Punch,-,enemy,1,"Deals 0.5x Power SkillType.Physical and SkillType.Dark damage, and restores HP based on damage dealt.",-,-,-,-,[0.2;0.25;0.4;0.5;0.6;0.8;1.0;1.25],pool,base_skill,1,damage×1
drawsoul,DrawSoul,Draw Soul,DrawSoul,root,3,Revive ally as an uncontrollable Spirit. Spirit is immune to damage and can't be targeted. Take SkillType.MP damage on Ally's turn.,Decreased MP damage taken,Now a Bonus Action,-,-,[0.15;0.25;0.75;1.0;32.0;3;2],json,,2,damage×2
dreamdust,DreamDust,Dream Dust,-,enemy,1,"Deals 5x Focus SkillType.Sleep damage to primary target, and 2.5x Focus SkillType.Sleep damage to adjacent targets.",-,-,-,-,[0.5],pool,base_skill,3,damage×2;status×1
dronebattery,DroneBattery,Drone Battery,-,drone,1,The drone powers down after a certain number of turns.,-,-,-,-,[1.0;3.0],pool,base_skill,0,
dronelauncher,DroneLauncher,Drone Launcher,Drones,root,2,Access deployable drones.,All deployable drones gain +50% to all attributes,-,-,-,[1.5;2;7;3],pool,,0,
dropkick,Dropkick,Dropkick,-,root,0,-,-,-,-,-,[0.01;0.15;0.25;0.5;10.0],name-only,,0,
drown,Drown,Drown,-,root,0,-,-,-,-,-,[0.25;0.8;0.85;1.0;6.0;3],name-only,,0,
duel,Duel,Duel,Duel,root,3,OWNER.NAME and enemy can only target each other for 3 turns. Cannot be dispelled or resisted.,Deal 35% increased damage to target,Target deals 50% decreased damage,-,-,[0.25;0.3;0.35;0.5;1.0;3.0;2;3],json,,2,damage×2
dynamite,Dynamite,Dynamite,-,root,1,Deals 100-150 SkillType.Physical and 50-70 SkillType.Fire damage to target enemies.,-,-,-,-,[0.4;2;3],pool,,1,damage×1
eagleeye,EagleEye,Eagle Eye,-,root,1,Your next SkillType.Attack skill cannot miss and deals 35% more damage.,-,-,-,-,[0.35;50.0;2;3],pool,,1,damage×1
echoing,Echoing,Echoing,-,root,1,Next SkillType.Spell this turn repeats on a second target.,-,-,-,-,[0.35;0.7;1.0;1.3;1.4;12.0],pool,,0,
eclipse,Eclipse,Eclipse,-,root,4,Sacrifice 30% of current HP to deal 0.25x Max HP + 1.5x Focus SkillType.Dark damage to enemies. Charges on sacrificed HP.,Sacrifice 30% of Current HP to deal SkillType.Dark damage to all enemies.,Damage pierces 50% of defenses,Deals 50% more damage to Soul Eater target,-,[-0.3;0.15;0.25;0.5;1.0;1.5;3;2],pool,,4,damage×4
edgehoning,EdgeHoning,Edge Honing,Edge Honing,city,1,Decreases target Power.,-,-,-,-,[0.99],json,base_skill,0,
edict,Edict,Edict,Edict,root,3,Non-boss enemies' next skills cannot target your party. Three turn charge.,Steals 50% of target's MP for allies when effect ends,Removes all of target's SkillType.Buff when effect ends,-,-,[0.25;0.8;1.2;2.0],json,,0,
eject,Eject,Eject,-,root,1,Bonus Action. Exit your Steam Mech.,-,-,-,-,-,pool,,0,
electrify,Electrify,Electrify,Electrify,enemy,1,Adds 0.5x Focus SkillType.Lightning damage with SkillType.Attack skills and melee attackers take 1x SkillType.Lightning damage for 3 turns.,-,-,-,-,[0.5;0.8;1.0;1.5;2],json,base_skill,1,damage×1
elementalmagic,ElementalMagic,Elemental Magic,Elements,root,1,Access basic Elemental Magic.,-,-,-,-,[2;7],pool,,0,
elkspirit,ElkSpirit,Elk Spirit,ElkSprt,root,3,Summon an Elk Spirit that casts Regrowth on allies.,Allies heal for 5% Max HP every turn,Cast Healing Rain when expiring,-,-,[0.25;2;7;3],pool,,2,summon×1;heal×1
emberbolt,EmberBolt,Ember Bolt,-,root,3,Deals 0.6x Focus SkillType.Physical damage and regenerates MP on hit.,"Deals extra damage based on missing MP, up to double",Consumes one Overheat to double damage dealt,-,-,[0.6;1.5;2.0;3;2],pool,,3,damage×3
empower,Empower,Empower,Empower,enemy,3,Allies gain 50% increased Speed until their next turn. Two turn charge.,Allies deal 50% more damage their next turn,Allies gain turn 50% progress,-,-,[3],json,base_skill,1,damage×1
encircle,Encircle,Encircle,-,enemy,1,Summons Hell Flames around the caster.,-,-,-,-,[0.5;1.0],pool,base_skill,1,summon×1
energize,Energize,Energize,Energize,root,3,Sacrifice 20% of current HP. Restore 0.5x Focus MP to all allies. Increased turn delay.,Allies gain 15% turn progress,Allies' next skill deals 25% increased damage or healing,-,-,[0.2;0.25;0.5;1.0;1.5;15.0;5],json,,1,damage×1
energizer,Energizer,Energizer,Energizer,inventions,1,Increases target's attributes by 50% for 1 turn and grants 50% turn progress.,-,-,-,-,[0.5;1.5;50.0],json,Invention,1,grant×1
energylance,EnergyLance,Energy Lance,-,root,2,Deals up to 2.5x Focus SkillType.Energy damage by converting 35% of current MP into damage.,MP conversion 50% more effective,-,-,-,[0.25;0.35;0.4;0.5;0.65;1.0;1.5;2.1;2.6;20.0;3],pool,,1,damage×1
energywave,EnergyWave,Energy Wave,Energy Wave,root,3,Sacrifice 20% of current HP. Deals 1.3x Focus SkillType.Energy damage to enemies in the front row.,Decreases target Technique by 25% for 2 turns,Hits all enemies,-,-,[0.015;0.15;0.2;0.5;0.65;1.5;26.0;3;2],json,,2,damage×1;stat_mod×1
enfeeblingray,EnfeeblingRay,Enfeebling Ray,Enfbl Ray,root,3,Decreases target enemy's Power by 50% for 2 turns. 2 uses.,Decreases target Toughness by 50%,Decreases target Speed by 35%,-,-,[0.25;0.35;0.5;0.65;0.85;2;3],json,,2,stat_mod×2
enrage,Enrage,Enrage,Enrage,root,3,Increases SkillType.Physical damage that you deal and take by 50% for 5 turns.,Increases Speed by 25%,Damage taken penalty reduced to 25%,-,-,[0.2;0.25;0.4;0.5;0.6;1.0;1.25;2;3],json,,3,damage×2;stat_mod×1
enragebeast,EnrageBeast,Enrage Beast,Enrage,enemy,3,"Increases Power, Endurance, and Speed for a beast ally. Grants Free Turn.","Increases Power, Endurance, and Speed for a beast ally. Grants Free Turn.","Increases Power, Endurance, and Speed for a beast ally. Grants Free Turn.",-,-,[0.15;0.75;1.5;2.5;3.0],json,base_skill,3,grant×3
entangle,Entangle,Entangle,-,enemy,1,"Target becomes rooted, cannot act, and takes 1x Power SkillType.Physical damage after every turn.",-,-,-,-,[0.5;3;2;4],pool,base_skill,1,damage×1
entice,Entice,Entice,-,enemy,1,Taunts target for 1 turn.,-,-,-,-,-,pool,base_skill,0,
entomb,Entomb,Entomb,Entomb,root,3,Deals 0.45x Focus SkillType.Physical damage and decreases Speed and Agility by 50%. Costs MP every turn. Limit one. Cannot miss.,Also deals SkillType.Stun damage,MP cost decreased by 35%,-,-,[0.1;0.2;0.3;0.5;0.7;2.0;20.0;40.0;2],json,,3,damage×2;status×1
enzymes,Enzymes,Enzymes,-,enemy,1,Deals 1.0 SkillType.Physical damage and lowers Toughness by 50% for 3 turns.,-,-,-,-,[0.05;0.07;0.3;0.5;0.6;0.7;0.8;1.0;1.5;3],pool,base_skill,2,damage×1;stat_mod×1
execute,Execute,Execute,-,root,1,Deals 2.5x Power SkillType.Physical damage to target critical enemy.,-,-,-,-,[0.25;0.4;0.5],pool,,1,damage×1
explode,Explode,Explode,-,drone,1,"Explodes and dies, dealing heavy damage to all enemies.",-,-,-,-,[0.5;1.0625;2.1;3.0;3.25;4],pool,base_skill,1,damage×1
