Skill Name,Effect,,,Shared Effect,,Relic
First to Fight,Passive,-,"Level 1: Gain 50% turn progress at start of battle.
Level 2: 25% increased damage for first turn
Level 3: Cannot miss during first turn",-,-,-
Air Strike,All - Party,-,"Level 1: Deals 100-125 [Physical] and [Fire] damage to random enemies 4 times. One use. Five turn charge. Cannot miss.
Level 2: Hits 6 random enemies
Level 3: 50% faster charge rate",-,-,-
Grenade,Cross - Any,-,"Level 1: Deals 100-150 [Physical] and 50-70 [Fire] damage to target enemies. One use.
Level 2: Two uses
Level 3: Three uses",-,-,Marine's Rucksack
Smoke Grenade,All - Party,-,"Level 1: Attacks against allies have a 35% chance to miss for two turns. One use.
Level 2: Lasts three turns
Level 3: Lasts four turns",Smoke Bomb,-,-
Shoot,Single - Any,-,"Level 1: Deals 1x Power [Physical] damage to target.
Level 2: Damage increased by 15%
Level 3: Damage increased by additional 15% ",-,-,-
Medkit,Single - Any,-,"Level 1: Heals an ally for 400-500. Three uses per battle.
Level 2: 35% chance not to consume a use
Level 3: Removes all [Debuff]",-,-,Harry's Medkit
Squad Support,Passive,-,"Level 1: Automatically Supports adjacent allies, sharing 25% of your attributes with them. 
Level 2: Supported allies deal 15% more damage
Level 3: Heals Supported allies for 10% Max HP after every turn",-,-,-
Non-Combatant,Passive,-,"Level 1: Cannot be directly targeted by enemies for 5 turns or until targeting an enemy.
Level 2: 25% increased Toughness while active
Level 3: 25% increased Discipline while active",-,-,-
Emergency Care,Passive,-,"Level 1: 50% increased [Healing] strength and Speed when an ally is critical.
Level 2: Heals Supported allies for 0.2x Focus every turn
Level 3: Free Turn when ally is downed",-,-,-
Amputate,Single - Any,98,"Level 1: Revives an ally with 35% Max HP, but reduces target's attributes by 25% for the rest of battle.
Level 2: Only lasts 3 turns
Level 3: Can be dispelled",-,-,-
Syrette,Single - Any,-,"Level 1: Decreases damage taken by 50% for an ally. Three uses.
Level 2: Cannot be removed
Level 3: 50% chance to prevent being downed",-,-,-
Suppressing Fire,Single - Any,-,"Level 1: Deals 0.65x Power [Physical] damage and decreases target's Technique by 15%. Always hits. 
Level 2: Also deals [Stun] damage 
Level 3: Target's Agility and Speed decreased by 25%",-,-,-
Swordplay,Self,-,"Level 1: Access melee Swordplay skills.
Level 2: Swordplay skills become level 2
Level 3: Swordplay skills become level 3",-,-,-
Flourish,Single - Melee,?,"Level 1: Deals 1.25x Power [Physical] damage to target enemy, with 10% decreased chance to hit.
Level 2: Increases dodge chance by 25% until next turn 
Level 3: Damage increased by 10% for each stack of [Booze] on Jack",-,-,-
Gunplay,Self,-,"Level 1: Access ranged Gunplay skills.
Level 2: Gunplay skills become level 2
Level 3: Gunplay skills become level 3",-,-,-
Flintlock,Single - Any,?,"Level 1: Deals 1x Power [Physical] damage to target enemy.
Level 2: Damage increased by .35x Technique
Level 3: Turn delay decreased by 5% for each stack of [Booze] on Jack, max 25%",-,-,-
Grapeshot,Cross - Any,?,"Level 1: Deals 0.75x Power [Physical] damage up to 4 times in an area.
Level 2: Hits up to 5 times
Level 3: Hits up to 6 times",Unload,-,-
Adaptable,Passive,-,"Level 1: Using [Melee] and [Ranged] attacks increases the damage of each other by 20%. Stacks up to 5 times.
Level 2: Each stack increases piercing by 15%
Level 3: Each stack decreases turn delay by 15%",-,-,-
Warm Glow,Passive,-,"Level 1: Restore 2% Max HP every turn for each stack of [Booze] on Jack.
Level 2: Also restore 2% Max MP per stack
Level 3: Speed increased by 5% per stack",-,-,-
Rum,Self,-,"Level 1: Bonus Action. Increases Toughness and Agility by 15%, but hero has a 35% chance to lose control. Stackable 5 times.
Level 2: Increases dodge chance by 15% 
Level 3: Increases critical hit damage by 15%",-,-,Jack's Rum
Plunder,Single - Melee,-,"Level 1: Deals 3x Power [Physical] damage and steals turn progress. Uses all Adaptable stacks.
Level 2: Steals all dispellable [Buff] if possible
Level 3: Heals for 50% of damage dealt",-,-,-
Incision,Single - Melee,-,"Level 1: Deals 0.85x Power [Physical] damage and lowers target's Endurance by 20% for 3 turns.
Level 2: Increases all damage target takes by 25%
Level 3: Nullifies [Healing] on target",-,-,Plague Knife
Bloodlet,Single - Any,-,"Level 1: Target ally takes 30% Max HP [Physical] damage and loses all [Debuff] effects.
Level 2: Heals target after every turn for amount equal to 50% of initial damage dealt. Lasts 3 turns.
Level 3: Negates Plague damage",-,-,-
Resistant,Passive,-,"Level 1: Gain 1 Resist before every turn.
Level 2: Gain 1 Resist after receiving [Debuff]
Level 3: [Debuff] last half as long",-,-,-
Plaguebearer,Passive,-,"Level 1: Each turn, randomly spread 5 stacks of Plague.
Level 2: Spread 5 stacks of Plague when attacked
Level 3: Allies start with 5 stacks of Plague",-,-,-
Plague,Passive,-,"Level 1: Deals 0.25x Focus [Poison] damage over time for 3 turns. Affects additional target every turn.
Level 2: Affects additional target every turn
Level 3: Lasts until dispelled",-,-,-
Healing Vapours,Self - Party,72,"Level 1: Reduces [Poison] damage taken by 80% for all allies for 3 turns.
Level 2: After Ambroise's turn, allies gain 3 Resist
Level 3: After Ambroise's turn, heals allies for 5% Max HP per Plague",-,-,-
Bubo Burst,Single - Any,48,"Level 1: Removes all Plague stacks from ally. Spreads Plague stacks to enemies.
Level 2: Heals ally for 5% Max HP for each stack
Level 3: No longer removes Plague",-,-,-
Unload,Cross - Any,-,"Level 1: Deals 0.75x Power [Physical] damage up to 4 times in an area.
Level 2: Hits up to 5 times
Level 3: Hits up to 6 times",Grapeshot,-,-
Chainsaw,Single - Melee,-,"Level 1: Deals 200-250 [Physical] damage to an enemy. Ignores Toughness. Three uses per battle.
Level 2: Damage increased randomly up to 5-10% of target's current HP
Level 3: Halves target's healing received",-,-,Buzzard's Saw
Erratic,Passive,-,"Level 1: 35% chance to lose control on turn start. Lasts 3 turns. 
Level 2: 35% increased direct damage dealt while active
Level 3: Decreased turn delay while active",-,-,-
Wasteborn,Passive,-,"Level 1: [Poison] damage taken is decreased by 75%.
Level 2: Gain 1 resist every turn
Level 3: Attributes cannot be lowered past base",-,-,-
Boomkit,Self,-,"Level 1: Bonus action. Access explosive gadgets.
Level 2: Booms become level 2
Level 3: Booms become level 3",-,-,-
Molotov,All - Party,-,"Level 1: Deals 100-150 [Fire] damage and half as much each turn for 3 turns. Always hits. Two uses per battle.
Level 2: Damage over time deals full damage
Level 3: Hits all enemies",-,-,-
Biobomb,All - Party,-,"Level 1: Deals 75-125 [Poison] damage, and 75-125 per turn for 5 turns. Always hits. One use per battle.
Level 2: Reduces enemy healing by 50%
Level 3: Enemies take 15% more damage",-,-,-
Shotgun Blast,Front Row - Party,-,"Level 1: Deals 1.25x Power [Physical] damage to enemies in the front row. Two uses. 
Level 2: Also deals [Stun] damage 
Level 3: Deals 50% increased damage ",-,-,-
Jam,Self ,-,"Level 1: Bonus Action. Use damaging [Sonic] skills for three turns. 
Level 2: Can use Riff skill
Level 3: Can use Guitar Solo skill",-,-,-
Power Chord,Column - Any,?,"Level 1: Deals 1.2x Tech [Sonic] damage.
Level 2: N/A
Level 3: N/A",-,-,-
Riff,Cross - Any,?,"Level 1: Deals 1x Tech [Sonic] damage to enemies in an area.
Level 2: N/A
Level 3: N/A",-,-,-
Guitar Solo,All - Party,?,"Level 1: Deals 0.65x Tech [Sonic] damage to random enemies up to 10 times.
Level 2: N/A
Level 3: N/A",-,-,-
Whammy Bar,Passive,-,"Level 1: Adds up to 0.5x Power to hits with [Sonic] skills.
Level 2: Also adds [Stun] damage
Level 3: Added damage gains 50% more piercing",-,-,-
Battle Axe,Passive,-,"Level 1: [Physical] attacks also deal an additional 50% [Sonic] damage.
Level 2: Also deals additional [Stun] damage
Level 3: Added [Sonic] damage hits other nearby enemies",-,-,-
Amp it Up,Self,-,"Level 1: Increases [Sonic] damage by 35% for 5 turns. One use.
Level 2: Decreases turn delay for [Sonic] skills
Level 3: Automatically use at battle start",-,-,-
Mosh,All - Melee,69,"Level 1: Deals 0.5x Power [Physical] damage to enemies in an area.
Level 2: Shifts targets randomly
Level 3: Hits all enemies",-,-,-
Power Ballad,All - Party,57,"Level 1: Song. Increases Power and Toughness by 20% of [Character]'s TEC for all allies.
Level 2: Allies gain 1 Resist after their turn
Level 3: Decreases damage taken by 15%",Ballad,-,Slade's Guitar
Energy Lance,Column - Any,-,"Level 1: Deals 2.5x Focus [Energy] damage by converting 35% of current MP into damage.
Level 2: MP conversion 50% more effective
Level 3: Cannot miss",-,-,Sentinel Core
Forcefield,Self - Party,-,"Level 1: Converts [Ranged] to [MP] damage for three turns for entire party. Channeled. Requires at least 50% MP to use.
Level 2: Also redirects [Spell] damage
Level 3: Take 25% less damage while active",-,-,-
Matrix Capacitor,Passive,-,"Level 1: Increases Maximum MP by 300%.
Level 2: Adds +20% to maximum MP increase every tirn
Level 3: 25% decreased [MP] damage taken",-,-,-
Infinity Generator,Passive,-,"Level 1: Restore 10% Max MP every turn.
Level 2: Increases all MP healing received by 35%
Level 3: Works during Forcefield",-,-,-
Staff of Supremacy,Passive,-,"Level 1: Adds up to 10% Max MP [Energy] damage to [Spell] hits.
Level 2: Adds damage to ally [Spell] hits during Forcefield
Level 3: Also adds [MP] damage",-,-,-
Unleash Force,Passive,-,"Level 1: When Forcefield ends, deals 2.5x Focus [Energy] damage to all enemies.
Level 2: Also deals [Stun] damage
Level 3: 50% increased damage",-,-,-
Edict,All - Party,-,"Level 1: Non-boss enemies' next skills cannot target your party. Charges over time.
Level 2: Steals 50% of target's MP for allies when effect ends
Level 3: Remove all of target's [Buff] when effect ends",-,-,-
Grenade Punch,Cross - Melee,-,"Level 1: Deals 150-200 + 1x Power [Physical] and 75-100 [Fire] damage to enemies. Also hits self.
Level 2: Punch deals 25% more damage
Level 3: Grenade hits twice",-,-,-
Frenzy,Self,-,"Level 1: Bonus Action. Increases Speed by 50% and damage dealt by 35%, but lose control.
Level 2: Immune to [Stun] and [Sleep] damage
Level 3: Cannot be downed while active",-,-,Alacrity Implant
R3gn-X,Passive,-,"Level 1: Restores up to 13% Max HP every turn based on missing HP, even if downed. Prevents Bleedout.
Level 2: Increases Endurance every turn based on amount healed
Level 3: Increases Toughness every turn based on amount healed",-,-,-
Blood Rage,Passive,-,"Level 1: Increases Speed and Power by 50% when at critical HP.
Level 2: Adds up to 1x Power to hits when at critical HP
Level 3: Always deal critical damage when at critical HP",-,-,-
Altered Genes,Passive,-,"Level 1: Enhanced base attributes.75% reduced [Healing] received from sources other than R3gnX.
Level 2: [Poison] damage taken reduced by 75%
Level 3: Attributes cannot be reduced below base",-,-,-
Protonetics,Passive,-,"Level 1: Lose 25% less Stamina when traveling through conduit space. Take 10% Max HP [Physical] damage every turn.
Level 2: Decreases [Stun] and [Sleep] damage taken by 25%
Level 3: Reduces duration of [Debuff] to 1 turn",-,-,-
Chastise,Single - Any,-,"Level 1: Deals 1.2x Focus [Holy] damage to target. Always hits.
Level 2: Deals 0.6x Focus [Holy] damage after target's next turn
Level 3: Prevents target from targeting your party for one turn",-,-,-
Salvation,Single - Any,-,"Level 1: Revive an ally at 35% Max HP next turn. Channeled.
Level 2: Revives ally with 65% Max HP
Level 3: Ally gains Free Turn",-,-,-
Ascension,Passive,-,"Level 1: Die immediately if Downed, instead of bleeding out, but fully heals party, reviving other Downed allies.
Level 2: Automatically cast Holy Blast before dying
Level 3: Allies gain 50% of Asariel's attributes for the rest of battle",-,-,-
Divine Voice,Passive,-,"Level 1: Heal allies for 0.25x Focus every turn while Channeling.
Level 2: Reduce damage taken by 25% while Channeling
Level 3: While Channeling, hit random enemy with Chastise",-,-,-
Holy Blast,All - Party,-,"Level 1: Deals 2x Focus [Holy] damage to all enemies. Charges over time.
Level 2: Enemies are also hit by Chastise
Level 3: Allies gain Holy Shield",-,-,-
Holy Shield,Single - Any,71,"Level 1: Blocks up to 1x Focus damage taken by target ally.
Level 2: Heals for 1x the damage blocked
Level 3: Increases all target attributes by 25% while active",-,-,-
Mend,Single - Any,45,"Level 1: Heals an ally for 50% of their missing HP.
Level 2: Also restores 50% of missing MP
Level 3: Dispel all [Debuff] on target",-,-,Asariel's Halo
Safeguard,Single - Any,-,"Level 1: Prevents target from being Downed for 3 turns. Channeled.
Level 2: Ally gains 25% of your attributes
Level 3: Asariel gains Holy Shield while Channeling",-,-,-
Jab,Single - Melee,-,"Level 1: Bonus Action. Deals 0.75x Power [Physical] damage.
Level 2: Next [Attack] deals 35% increased damage.
Level 3: Next [Attack] always hits",-,-,-
Block,Self,-,"Level 1: The next three times you take damage from [Attack] skills, the damage is negated.
Level 2: Lasts through four times taking damage
Level 3: Lasts through five times taking damage",-,-,-
Combo Hitter,Passive,-,"Level 1: Gain Combo stack after using [Attack] skills. Each stack increases [Attack] damage by 10%. Max 5 stacks. 
Level 2: Each stack increases Technique by +10
Level 3: Each stack increases Speed by +10",-,-,-
Uppercut,Single - Melee,-,"Level 1: Deals 1.5x Power [Physical] and [Stun] damage. Charges when gaining Combo.
Level 2: 50% increased critical chance
Level 3: Gain 2 Combo on critical hit",-,-,-
Hook,Single - Melee,-,"Level 1: Deals 0.5x Power [Physical] and [Stun] damage per Combo. Consumes Combo. Charges when gaining Combo.
Level 2: Always deal critical damage
Level 3: Target loses all turn progress",-,-,-
Throw Blade,Single - Any,-,"Level 1: Deals 1x Power [Physical] damage to target. Consumes one Blade stack.
Level 2: Deals 50% more critical damage
Level 3: Always hits",-,-,-
Juggle,All - Party,-,"Level 1: Deal 0.35x Technique [Stun] damage to enemies. Gain 3 stacks of Blade.
Level 2: Damage now ignores Toughness
Level 3: Automatically Throw Blade after use at full Blade stacks.",-,-,-
Concealed Blades,Passive,-,"Level 1: Each Blade stack decreases turn delay of Blade skills. Gain 1 stack at start of turn. Stacks 4 times. Start battle with max stacks.
Level 2: Stacks 6 times
Level 3: Gain 2 stacks per turn",-,-,-
Entertainer,Passive,-,"Level 1: Gain +10 Technique after every skill use.
Level 2: Allies regenerate MP after getting a critical hit
Level 3: Allies are healed for 5% of their Max HP after getting a critical hit",-,-,-
Fan of Blades,All - Party,42,"Level 1: Deals 1x Power [Physical] damage to a random enemy per Blade stack. Consumes all Blade stacks.
Level 2: Deals 15% more damage per remaining Blade
Level 3: 35% chance not to consume each Blade",-,-,-
Anthem,All - Party,71,"Level 1: Song. Increases Speed and Agility by 20% of [Character]'s Technique for all allies.
Level 2: Increases critical hit damage by 25% 
Level 3: Increases chance to dodge by 15%",-,-,Ralf's Flute
Wither,Single - Melee,-,"Level 1: Target takes 1x Focus [Dark] damage over time for 3 turns. Deals +30% damage vs Undead and Plants.
Level 2: Target's Power and Focus decreased by 20% 
Level 3: Target's received [Healing] is reduced by 90%",-,-,Lich Finger
Sorcery,Self,-,"Level 1: Access Lich Spells.
Level 2: Can use Frost Ray and Chain Lightning skills
Level 3: Sorcery skill MP cost decreased by 25%",-,-,-
Acid Cloud,Cross - Any,?,"Level 1: Deals 0.33x Focus [Poison] damage over time for 3 turns. Stackable. Cannot miss.
Level 2: N/A
Level 3: N/A",-,-,-
Firestorm,Single - Any,?,"Level 1: Deals 1.5x Focus [Fire] damage to target and dispels 3 [Buff].
Level 2: N/A
Level 3: N/A",-,-,-
Frost Ray,Single - Any,?,"Level 1: Deals 1.2x Focus [Ice] damage and decreased Speed by 50% for 1 turn.
Level 2: N/A
Level 3: N/A",-,-,-
Chain Lightning,Cross - Any,?,"Level 1: Deals 1x Focus [Lightning] damage to target, jumping to adjacent targets up to 3 times for 50% damage.
Level 2: N/A
Level 3: N/A",-,-,-
Soulless,Passive,-,"Level 1: When Downed, sacrifice 10% Stamina and skip next turn to revive at full HP. HP and MP cannot be healed, except by Devour Soul.
Level 2: Immune to [Stun] and [Sleep] damage
Level 3: Prevents Stamina loss through conduit space",-,-,-
Mana Shield,Passive,-,"Level 1: 100% of damage taken is converted into [MP] damage, unless MP is too low.
Level 2: MP regen rate is increased by 4x
Level 3: Speed increased by 100% when MP is below 25% remaining",-,-,-
Desiccated,Passive,-,"Level 1: Max HP set to 6. Non [Holy] damage taken is reduced to 1. [Holy] damage reduced to 5. Cannot be critically hit.
Level 2: Max HP set to 12.
Level 3: Immune to [Poison] damage and effects from [Poison] skills",-,-,-
Cantrip,Passive,-,"Level 1: All [Spell] skills can be used as a Bonus Action, but cannot gain Free Turns.
Level 2: Counter with Wither after being targeted by a [Melee] skill
Level 3: Whenever you would gain a Free Turn, increase Focus by 20% instead",-,-,-
Terrify,Front Row - Party,-,"Level 1: Deals 2x Focus [Stun] damage to enemies in the front row. 2 turn charge.
Level 2: Targets have a 50% chance to shift to the back row
Level 3: Deals 50% extra damage to all enemies",-,-,-
Devour Soul,Single - Any,-,"Level 1: Target downed enemy immediately bleeds out and is removed from battle. Fully restores Krethik's HP.
Level 2: Restores 75% of Krethik's MP
Level 3: Automatically trigger when HP is critical or MP below 25%, if possible",-,-,-
Screech,Single - Any,-,"Level 1: Deals 1x Focus [Sonic] damage and increases MP cost of target's next skill by 250%. Cannot miss.
Level 2: 35% chance for target's next skill with an MP cost to miss
Level 3: 35% chance for target's next skill with an MP cost to fail",High Note,-,Sophia's Glass
Mourn,Self,-,"Level 1: Restore 15% of your health for each Downed ally.
Level 2: Dispel one [Debuff] for each Downed ally
Level 3: Turn delay decreased by 15%for each Downed ally",-,-,-
Shriek,Passive,-,"Level 1: When an ally is Downed, deals 1x Focus [Sonic] damage to all enemies.
Level 2: Restore 25% Max HP after using Shriek
Level 3: Deals 50% more damage for each downed ally",-,-,-
Incorporeal,Passive,-,"Level 1: Takes 50% increased damage from [Spell] skills, but 50% less from other sources.
Level 2: No longer take extra [Spell] damage
Level 3: Automatically Fade after being hit",-,-,-
Manifestation,Passive,-,"Level 1: Increases Toughness and Endurance by 35% each time an ally is Downed. Max 5 stacks. 
Level 2: Heal 20% Max HP when an ally is Downed
Level 3: Max 10 stacks",-,-,-
Fade,Self,36,"Level 1: Cannot be directly targeted by enemies and decreases damage taken by 50% for 1 turn.
Level 2: Decreases damage taken by 75%
Level 3: All [Attack] skills miss",-,-,-
Wail,All - Party,130,"Level 1: Deals 0.25x Focus [Sonic] damage to all enemies 3 times.
Level 2: Each hit deals 35% more damage
Level 3: Last hit ignores Toughness",-,-,Banshee's Wail
Possession,Single - Any,-,"Level 1: Share 50% of all attributes with target non-undead ally for three turns. Kiara cannot take damage while active. Charges over time. 
Level 2: Ally deals bonus 35% [Sonic] damage with hits
Level 3: Grants Free Turn to ally ",-,-,-
Reckless Attack,Single - Melee,-,"Level 1: Deals 1.5x Power [Physical] damage, but increases damage taken by 35%. Damage debuff stacks.
Level 2: Turn delay reduced by 25%
Level 3: Always deal critical damage",-,-,-
Cleave,Row - Melee,-,"Level 1: Deals 1x Power [Physical] damage to target. Row takes 0.5x Power [Physical] damage.
Level 2: Enemies bleed for 50% [Physical] damage taken for 1 turn
Level 3: Bleed now lasts 2 turns",-,-,Odrak's Claymore
Ancestral Bond,Passive,-,"Level 1: Allies gain 15% of Odrak's Endurance.
Level 2: Allies gain 15% of Toughness
Level 3: Allies gain 15% of Power",-,-,-
Primal Roar,Passive,-,"Level 1: Deals 1x Power [Stun] damage to all enemies at start of battle. Always hits.
Level 2: Gain 1 Reckless Attack stack on use
Level 3: Gain 2 Reckless Attack stacks on use",-,-,-
Rage,Passive,-,"Level 1: At 3 Reckless Attack stacks, gain 35% increased Power and Toughness for 3 turns, and remove all Reckless Attack stacks.
Level 2: All taken damage is converted to [Physical] damage
Level 3: Increases damage dealt by 25%",-,-,-
Overpower,Single - Melee,70,"Level 1: Deals 2x Power [Physical] damage and steals turn progress. Requires Rage.
Level 2: Hits twice if target it critical
Level 3: Always deals critical damage",-,-,-
Intimidate,Single - Any,46,"Level 1: Deals 1.5x Power [Stun] damage to an enemy. Always hits. 
Level 2: 50% more damage to enemies with lower HP
Level 3: Damage ignores defenses",-,-,Dragon Tattoo
Thick Skin,Passive,-,"Level 1: 35% chance to dispel one [Debuff] at the start of turn.
Level 2: Toughness increased by 25%
Level 3: Endurance increased by 25%",-,-,-
Bash,Single - Melee,-,"Level 1: Deals 1.35x Power [Physical] and [Stun] damage to an enemy.
Level 2: [Stun] damage increased by 50%
Level 3: [Physical] damage increased by 15%",-,-,Money Bag
Throw Spear,Single - Any,-,"Level 1: Deals 1.35x Power [Physical] damage to target enemy. 3 uses.
Level 2: Deals 50% increased critical damage
Level 3: Always hits",Javelin,-,Og's Spear
Sabretooth,Passive,-,"Level 1: Automatically summon Ka the Sabretooth in battle. 
Level 2: Ka gains Maul skill
Level 3: Ka gains Takedown skill",-,-,-
Thick Skull,Passive,-,"Level 1: Immune to [Stun] damage.
Level 2: Toughness increased by 25%
Level 3: Endurance increased by 25%",-,-,-
Big Game Hunter,Passive,-,"Level 1: Deal 50% increased damage against Beast enemies.
Level 2: Deal 50% increased damage against Boss enemies
Level 3: Always deal critical damage against Beast and Boss enemies",-,-,-
Tar Pit,All - Party,-,"Level 1: Deals 1x Power [Physical] damage to enemies and resets their turn progress. Half effect on Boss enemies. Five turn charge.
Level 2: Decrease enemy Speed by 50% 
Level 3: 50% chance to interrupt non-boss enemy's next action",-,-,-
Headbutt,Single - Melee,19,"Level 1: Deals 2x Power [Physical] damage to target enemy. Damages self.
Level 2: Also deals [Stun] damage
Level 3: Knocks target into back row",Dropkick,-,-
Shield of Faith,Passive,-,"Level 1: Reduces [Dark] and [Energy] damage taken by 50%.
Level 2: Reduces duration of [Debuff] to 1 turn
Level 3: Gain 5x stronger Holy Shield at start of battle",-,-,-
Blessed Mace,Passive,-,"Level 1: Deal up to 1x Focus extra [Holy] damage with [Attack] skills.
Level 2: Damage dealt by [Attack] skills heals all allies
Level 3: Cast Holy Shield on self after using [Attack] skills ",-,-,-
Holy Writ,Passive,-,"Level 1: Deal 25% more damage against Undead enemies.
Level 2: Damage always critical against Undead
Level 3: Automatically cast Last Rites when Undead are downed",-,-,-
Last Rites,All - Party,76,"Level 1: All Downed enemies are removed from battle.
Level 2: Restore 25% Max MP per enemy removed
Level 3: Restore 25% Max HP per enemy removed",-,-,-
Flash Heal,Single - Any,-,"Level 1: Bonus Action. Heals an ally for 1.5x Focus. Charges over time.
Level 2: Heals up to double, based on target's missing HP
Level 3: Recharges when cast on a critical ally",-,-,-
Consecrate,All - Party,44,"Level 1: Enemies take 1x Focus [Holy] damage every turn but costs MP.
Level 2: Enemies deal 35% less damage
Level 3: Costs 25% less MP per turn",-,-,Holy Water
Falchion,Single - Melee,-,"Level 1: Deals 1x Power [Physical] damage to target.
Level 2: Damage gains 50% more piercing
Level 3: Deals 100% more damage during Rekindle",-,-,-
Bone Shield,Self,-,"Level 1: Blocks up to 2.5x Toughness damage taken. Sacrifice 10% of current HP.
Level 2: Attackers take 1x Toughness [Physical] damage
Level 3: No longer cost HP",-,-,Drex's Shield
Reassemble,Passive,-,"Level 1: When Downed, sacrifice 10% Stamina and skip your next turn to revive at full HP.
Level 2: No longer skip turn after revive
Level 3: Activate Rekindle after revive",-,-,-
Undead Curse,Passive,-,"Level 1: Prevents Stamina loss through conduit space. Cannot be healed.
Level 2: Immune to [Stun] and [Sleep] damage
Level 3: Decrease [Physical] damage taken by 50%",-,-,-
Extinguished Soul,Passive,-,"Level 1: Maximum MP is set to 300 and skills cost 0 MP. Lose 50 MP every turn.
Level 2: Lose 50% less MP every turn
Level 3: Maximum MP is now 450",-,-,-
Rekindle,Self,-,"Level 1: [Attack] skills gain [Fire] damage up to 1x current MP. Set MP to maximum, Charges over time. Ends if MP reaches zero.
Level 2: Increases Speed by MP while active
Level 3: Always hit with [Attack] skills while active",-,-,-
Throw Skull,Single - Any,-,"Level 1: Deals 0.8x Power [Physical] damage to an enemy. Costs 5% of current HP on hit.
Level 2: Bounces 2x when Rekindle is active
Level 3: No longer costs HP during Rekindle.",-,-,-
Gather Shadows,Self,-,"Level 1: Unleashes a Shadow Driver after 1 turn. Channeled. Damage taken from hits while channeling is decreased by 50% and is added to Shadow Driver's damage. 
Level 2: Shadow Driver also damages adjacent enemies for 50%
Level 3: Shadow Driver always hits",-,-,-
Shadow Driver,Single - Melee,-,"Level 1: Deals 1.5x Power [Physical] damage and returns damage taken while channeling as [Dark] damge.
Level 2: N/A
Level 3: N/A",-,-,-
Drain Life,Single - Any,-,"Level 1: Deals 1.5x Focus [Dark] damage to target and heals caster for damage dealt.
Level 2: Also restores half of damage done as MP
Level 3: Up to 100% more damage based on missing HP",-,-,-
Nullify,Passive,-,"Level 1: Reduces [Fire] [Lightning] and [Ice] damage taken by 60%.
Level 2: Also reduces [MP] [Stun] and [Sleep] damage
Level 3: Applies to allies at half strength",-,-,-
Darkblade,Passive,-,"Level 1: Sacrifice up to 15% Current HP with [Attack] skills to deal an equal amount of [Dark] damage.
Level 2: Damage gains 50% increased piercing
Level 3: Damage uses Max HP instead of current",-,-,Dark Heart
Soul Eater,Passive,-,"Level 1: Drain Life steals Power equal to 0.5x Focus. Limit One. Weaker vs Boss.
Level 2: Also steals Toughness
Level 3: Also steals Endurance",-,-,-
Eclipse,All - Party,-,"Level 1: Sacrifice 30% of current HP to deal 0.25x Max HP + 1.5x Focus [Dark] damage to enemies. Charges on sacrificed HP. 
Level 2: Damage pierces 50% of defenses
Level 3: Deals 50% more damage to Soul Eater target",-,-,-
Crush Armor,Single - Melee,69,"Level 1: Deals 1.35x Power [Physical] damage to target. Ignores Toughness.
Level 2: Decreases target's Toughness by 75% for one turn
Level 3: Target takes 50% increased [Physical] damage for one turn",-,-,-
Sever Soul,Single - Melee,51,"Level 1: Deals 1.35x Power [MP] damage to target. Always hits.
Level 2: Decreases target Discipline by 35% for three turns
Level 3: Target dies instantly if downed, instead of bleeding out. Lasts three turns.",Soulflay,-,Kenjiro's Katana
Mark,Single - Any,-,"Level 1: Increases target's damage taken by 15% Limit of one Mark.
Level 2: Target's Agility decreased by 35% 
Level 3: Target's damage taken increased by additional 15%",-,-,-
Command,Single - Any,-,"Level 1: Command an ally to use one of their skills. Ally loses current turn progress. Charges over time.
Level 2: Ally no longer loses turn progress
Level 3: Gain Free Turn after use",-,-,-
Conscription,Passive,-,"Level 1: On Ally Death, sacrifice 25% of George's Stamina ti replace them with a random reserve party member, if available.
Level 2: Conscript gains Free Turn
Level 3: Conscript gains up to 25% Stamina",-,-,-
Bunker,Passive,-,"Level 1: Blocks up to 5x Wisdom direct [Ranged] damage taken by the party.
Level 2: Also blocks 50% of direct [Melee] damage
Level 3: Blocks 25% of all direct damage",-,-,-
Tactical Advantage,Passive,-,"Level 1: Whenever George would gain a Free Turn, increase Wisdom by 25% instead. Stacks.
Level 2: Adjacent allies lose one [Debuff]
Level 3: Adjacent allies gain 25% turn progress",-,-,-
Supply Drop,Self,533,"Level 1: Restores one [Gadget] use for allies.
Level 2: Allies gain Medkit skill for the battle
Level 3: Allies gain Grenade skill for the battle",-,-,-
Strategize,All - Party,205,"Level 1: Song. Increases Speed and Technique by 20% of [Character]'s Wisdom for all allies.
Level 2: Allies take 25% decreased [Sleep] damage
Level 3: Allies take 25% decreased [Stun] damage",-,-,Battle Plans
Chill,Single - Any,-,"Level 1: Deals 1x Focus [Ice] damage to an enemy.
Level 2: Decreases target's Speed by 25%
Level 3: Adds 3 Frostbite",-,-,-
Frigid Armor,Passive,-,"Level 1: Use a [Ice] skill automatically casts Frost Shield on self.  
Level 2: Damage taken decreased by 25% when Frost Shield active
Level 3: Frost Shield applies Frostbite to attacker when hit by [Attack] skills",-,-,-
Frostbite,Passive,-,"Level 1: Apply Frostbite with [Ice] damage. Each stack deals up to 15 [Ice] damage whenever target is hit by [Physical] damage. Max 10 stacks.
Level 2: Each stack decreases Toughness by 10%
Level 3: At max stacks, all damage taken is critical",-,-,-
